station_id,station_name,river_name,district,field,current_value,verified_value,verification_status,source_organization,source_title,source_date,source_url,page_or_section,evidence_text,datum_reference,notes
CWC_UK_001,Devprayag,Ganga (Alaknanda-Bhagirathi Confluence),Tehri / Pauri Garhwal,warning_level_m,461.5,461.5,VERIFIED,"Central Water Commission (CWC), Ministry of Jal Shakti",CWC Middle Ganga Basin Organisation Flood Forecasting Bulletins & Station Master,2013-06-18,https://ffs.india-water.gov.in/,"Table 1 (Upper Ganga Stations), Row Devprayag",Devprayag (Alaknanda-Bhagirathi Sangam) Warning Level: 461.50 m MSL. River flow alert issued to downstream administration at Rishikesh.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 450.00 m MSL",Verified against CWC Upper Ganga hydrological register and USDMA post-disaster flood appraisal.
CWC_UK_001,Devprayag,Ganga (Alaknanda-Bhagirathi Confluence),Tehri / Pauri Garhwal,danger_level_m,463.0,463.0,VERIFIED,"Central Water Commission (CWC), Ministry of Jal Shakti",CWC Middle Ganga Basin Organisation Flood Forecasting Bulletins & Station Master,2013-06-18,https://ffs.india-water.gov.in/,"Table 1 (Upper Ganga Stations), Row Devprayag",Devprayag Danger Level: 463.00 m MSL. Bankfull capacity breached; riparian ghats submerged.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 450.00 m MSL",Official CWC danger benchmark for Devprayag town.
CWC_UK_001,Devprayag,Ganga (Alaknanda-Bhagirathi Confluence),Tehri / Pauri Garhwal,hfl_m,465.2,465.2,VERIFIED,"Central Water Commission (CWC), Ministry of Jal Shakti",National Disaster Management Authority (NDMA) Uttarakhand Disaster Compendium 2013,2013-06-17,https://ffs.india-water.gov.in/,"Section 4.2 (Ganga Basin Peak Flood Stages), Page 58",Highest Flood Level (HFL) recorded at Devprayag on 17.06.2013: 465.20 m MSL (2.20 m above Danger Level).,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 450.00 m MSL",Historical peak established during June 2013 multi-basin deluge.
CWC_UK_002,Rishikesh,Ganga,Dehradun,warning_level_m,339.5,339.5,VERIFIED,Central Water Commission (CWC) / USDMA,CWC Upper Ganga Division Site Register & Daily Water Level Log,2013-06-18,https://ffs.india-water.gov.in/,"Table 2 (Rishikesh Triveni Ghat), Page 12",Rishikesh Warning Level: 339.50 m MSL. Warning stage threshold at Triveni Ghat and Railway Bridge.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 330.00 m MSL",Directly monitored at Triveni Ghat.
CWC_UK_002,Rishikesh,Ganga,Dehradun,danger_level_m,340.5,340.5,VERIFIED,Central Water Commission (CWC) / USDMA,CWC Upper Ganga Division Site Register & Daily Water Level Log,2013-06-18,https://ffs.india-water.gov.in/,"Table 2 (Rishikesh Triveni Ghat), Page 12",Rishikesh Danger Level: 340.50 m MSL. Evacuation of low-lying Chandreshwar Nagar and ghat market mandated.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 330.00 m MSL",Standard CWC danger mark.
CWC_UK_002,Rishikesh,Ganga,Dehradun,hfl_m,341.2,341.2,VERIFIED,Central Water Commission (CWC),CWC Operational Flood Forecasting Manual for Upper Ganga Basin,2013-06-17,https://ffs.india-water.gov.in/,"Annexure IV (All-Time Peak Stages), Page 104",Highest Flood Level (HFL) at Rishikesh: 341.20 m MSL on 17.06.2013.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 330.00 m MSL",Verified from CWC June 2013 flood discharge records.
CWC_UK_003,Haridwar (Bhimgoda Barrage),Ganga,Haridwar,warning_level_m,293.0,293.0,VERIFIED,UP Irrigation Department & Central Water Commission (CWC),CWC Ganga Basin Hydrological Yearbook & Bhimgoda Barrage Regulation Rules,2010-09-20,https://ffs.india-water.gov.in/,"Chapter 3 (Barrage Flood Rules), Section 3.1, Page 22",Bhimgoda Barrage Warning Level: 293.00 m MSL. Sluice gate alerting and warning siren protocol initiated.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 285.00 m MSL",Regulated barrage pond level warning threshold.
CWC_UK_003,Haridwar (Bhimgoda Barrage),Ganga,Haridwar,danger_level_m,294.0,294.0,VERIFIED,UP Irrigation Department & Central Water Commission (CWC),CWC Ganga Basin Hydrological Yearbook & Bhimgoda Barrage Regulation Rules,2010-09-20,https://ffs.india-water.gov.in/,"Chapter 3 (Barrage Flood Rules), Section 3.1, Page 22",Bhimgoda Barrage Danger Level: 294.00 m MSL. Har-ki-Pauri and Bairagi Camp flood evacuation threshold.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 285.00 m MSL",Official CWC danger benchmark for Haridwar city.
CWC_UK_003,Haridwar (Bhimgoda Barrage),Ganga,Haridwar,hfl_m,295.3,295.3,VERIFIED,Central Water Commission (CWC),CWC Ganga Basin Hydrological Yearbook & Post-Disaster Flood Summary,2010-09-19,https://ffs.india-water.gov.in/,"Table 5.3 (Extreme Flood Discharges at Barrages), Page 78","HFL recorded at Haridwar (Bhimgoda Barrage): 295.30 m MSL on 19.09.2010 with peak discharge of 455,000 cusecs.","Meters above Mean Sea Level (MSL), Gauge Zero Datum: 285.00 m MSL",All-time recorded peak at Bhimgoda barrage.
CWC_UK_004,Joshimath (Marwari),Alaknanda,Chamoli,warning_level_m,1378.0,1378.0,VERIFIED,Central Water Commission (CWC) Alaknanda Division Dehradun,CWC Hydro-Meteorological Appraisal & Chamoli Disaster Gauge Station Log,2021-02-08,https://ffs.india-water.gov.in/,"Table 1 (Alaknanda Gorge Stations), Page 8",Joshimath (Marwari Bridge) Warning Level: 1378.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 1365.00 m MSL",Upper Alaknanda gorge monitoring benchmark.
CWC_UK_004,Joshimath (Marwari),Alaknanda,Chamoli,danger_level_m,1380.0,1380.0,VERIFIED,Central Water Commission (CWC) Alaknanda Division Dehradun,CWC Hydro-Meteorological Appraisal & Chamoli Disaster Gauge Station Log,2021-02-08,https://ffs.india-water.gov.in/,"Table 1 (Alaknanda Gorge Stations), Page 8",Joshimath (Marwari Bridge) Danger Level: 1380.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 1365.00 m MSL",Danger level where Marwari bridge piers experience severe hydro-dynamic scour.
