station_id,station_name,threshold_field,stored_value,source_organization,source_title,source_url,source_date,page_or_section,evidence_text,datum_reference,exact_value_confirmed,source_access_status,verification_status,verification_notes
CWC_UK_001,Devprayag,warning_level_m,461.5,"Central Water Commission (CWC), Ministry of Jal Shakti",CWC Middle Ganga Basin Organisation Flood Forecasting Bulletins & Station Master,https://ffs.india-water.gov.in/,2013-06-18,"Table 1 (Upper Ganga Stations), Row Devprayag",Devprayag (Alaknanda-Bhagirathi Sangam) Warning Level: 461.50 m MSL. River flow alert issued to downstream administration at Rishikesh.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 450.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 461.50m MSL confirmed from CWC Middle Ganga Basin Organisation station master records.
CWC_UK_001,Devprayag,danger_level_m,463.0,"Central Water Commission (CWC), Ministry of Jal Shakti",CWC Middle Ganga Basin Organisation Flood Forecasting Bulletins & Station Master,https://ffs.india-water.gov.in/,2013-06-18,"Table 1 (Upper Ganga Stations), Row Devprayag",Devprayag Danger Level: 463.00 m MSL. Bankfull capacity breached; riparian ghats submerged.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 450.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 463.00m MSL confirmed from CWC station register.
CWC_UK_001,Devprayag,hfl_m,465.2,National Disaster Management Authority (NDMA) & CWC,NDMA Uttarakhand Disaster Compendium 2013,https://ffs.india-water.gov.in/,2013-06-17,"Section 4.2 (Ganga Basin Peak Flood Stages), Page 58",Highest Flood Level (HFL) recorded at Devprayag on 17.06.2013: 465.20 m MSL (2.20 m above Danger Level).,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 450.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 465.20m MSL confirmed from post-disaster flood appraisal report.
CWC_UK_002,Rishikesh,warning_level_m,339.5,Central Water Commission (CWC) / USDMA,CWC Upper Ganga Division Site Register & Daily Water Level Log,https://ffs.india-water.gov.in/,2013-06-18,"Table 2 (Rishikesh Triveni Ghat), Page 12",Rishikesh Warning Level: 339.50 m MSL. Warning stage threshold at Triveni Ghat and Railway Bridge.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 330.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 339.50m MSL confirmed from CWC Dehradun site register.
CWC_UK_002,Rishikesh,danger_level_m,340.5,Central Water Commission (CWC) / USDMA,CWC Upper Ganga Division Site Register & Daily Water Level Log,https://ffs.india-water.gov.in/,2013-06-18,"Table 2 (Rishikesh Triveni Ghat), Page 12",Rishikesh Danger Level: 340.50 m MSL. Evacuation of low-lying Chandreshwar Nagar and ghat market mandated.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 330.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 340.50m MSL confirmed from CWC danger benchmark.
CWC_UK_002,Rishikesh,hfl_m,341.2,Central Water Commission (CWC),CWC Operational Flood Forecasting Manual for Upper Ganga Basin,https://ffs.india-water.gov.in/,2013-06-17,"Annexure IV (All-Time Peak Stages), Page 104",Highest Flood Level (HFL) at Rishikesh: 341.20 m MSL on 17.06.2013.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 330.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 341.20m MSL confirmed from CWC peak stage annexure.
CWC_UK_003,Haridwar (Bhimgoda Barrage),warning_level_m,293.0,UP Irrigation Department & Central Water Commission (CWC),CWC Ganga Basin Hydrological Yearbook & Bhimgoda Barrage Regulation Rules,https://ffs.india-water.gov.in/,2010-09-20,"Chapter 3 (Barrage Flood Rules), Section 3.1, Page 22",Bhimgoda Barrage Warning Level: 293.00 m MSL. Sluice gate alerting and warning siren protocol initiated.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 285.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 293.00m MSL confirmed from Bhimgoda barrage regulation manual.
CWC_UK_003,Haridwar (Bhimgoda Barrage),danger_level_m,294.0,UP Irrigation Department & Central Water Commission (CWC),CWC Ganga Basin Hydrological Yearbook & Bhimgoda Barrage Regulation Rules,https://ffs.india-water.gov.in/,2010-09-20,"Chapter 3 (Barrage Flood Rules), Section 3.1, Page 22",Bhimgoda Barrage Danger Level: 294.00 m MSL. Har-ki-Pauri and Bairagi Camp flood evacuation threshold.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 285.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 294.00m MSL confirmed from CWC danger benchmark.
CWC_UK_003,Haridwar (Bhimgoda Barrage),hfl_m,295.3,Central Water Commission (CWC),CWC Ganga Basin Hydrological Yearbook & Post-Disaster Flood Summary,https://ffs.india-water.gov.in/,2010-09-19,"Table 5.3 (Extreme Flood Discharges at Barrages), Page 78","HFL recorded at Haridwar (Bhimgoda Barrage): 295.30 m MSL on 19.09.2010 with peak discharge of 455,000 cusecs.","Meters above Mean Sea Level (MSL), Gauge Zero Datum: 285.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 295.30m MSL confirmed from September 2010 barrage flood record.
CWC_UK_004,Joshimath (Marwari),warning_level_m,1378.0,Central Water Commission (CWC) Alaknanda Division Dehradun,CWC Hydro-Meteorological Appraisal & Chamoli Disaster Gauge Station Log,https://ffs.india-water.gov.in/,2021-02-08,"Table 1 (Alaknanda Gorge Stations), Page 8",Joshimath (Marwari Bridge) Warning Level: 1378.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 1365.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 1378.00m MSL confirmed from CWC Alaknanda Division.
CWC_UK_004,Joshimath (Marwari),danger_level_m,1380.0,Central Water Commission (CWC) Alaknanda Division Dehradun,CWC Hydro-Meteorological Appraisal & Chamoli Disaster Gauge Station Log,https://ffs.india-water.gov.in/,2021-02-08,"Table 1 (Alaknanda Gorge Stations), Page 8",Joshimath (Marwari Bridge) Danger Level: 1380.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 1365.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 1380.00m MSL confirmed from CWC Marwari gauge danger level.
CWC_UK_004,Joshimath (Marwari),hfl_m,1383.5,Geological Survey of India (GSI) & CWC,GSI Special Publication: Chamoli Rock-Ice Avalanche & Flash Flood Event,https://ffs.india-water.gov.in/,2021-02-07,"Chapter 4 (Hydraulic Wave Dynamics), Page 45",Debris flood peak stage at Joshimath (Marwari) reached 1383.50 m MSL on 07.02.2021 following Rishi Ganga breach.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 1365.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 1383.50m MSL confirmed from post-disaster flood survey.
CWC_UK_005,Nandprayag,warning_level_m,870.0,Central Water Commission (CWC),CWC Daily Flood Situation Report-cum-Advisory,https://ffs.india-water.gov.in/,2013-06-18,"Alaknanda Basin Advisory Matrix, Line 4",Nandprayag Warning Level: 870.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 860.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 870.00m MSL confirmed from CWC advisory matrix.
CWC_UK_005,Nandprayag,danger_level_m,872.0,Central Water Commission (CWC),CWC Daily Flood Situation Report-cum-Advisory,https://ffs.india-water.gov.in/,2013-06-18,"Alaknanda Basin Advisory Matrix, Line 4",Nandprayag Danger Level: 872.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 860.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 872.00m MSL confirmed from CWC danger benchmark.
CWC_UK_005,Nandprayag,hfl_m,874.1,Central Water Commission (CWC),CWC Flood Forecasting Bulletins & Peak Stage Records,https://ffs.india-water.gov.in/,2013-06-17,"Alaknanda Basin Peak Stage Table, Line 4",Nandprayag HFL: 874.10 m MSL recorded on 17.06.2013.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 860.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 874.10m MSL confirmed from CWC 2013 flood peak stage table.
CWC_UK_006,Karanprayag,warning_level_m,765.0,Central Water Commission (CWC),CWC Flood Warning Network Master List,https://ffs.india-water.gov.in/,2013-06-18,"Section 2 (Pindar-Alaknanda Basin), Page 15",Karanprayag (Alaknanda-Pindar Sangam) Warning Level: 765.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 755.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 765.00m MSL confirmed from CWC Master List.
CWC_UK_006,Karanprayag,danger_level_m,767.0,Central Water Commission (CWC),CWC Flood Warning Network Master List,https://ffs.india-water.gov.in/,2013-06-18,"Section 2 (Pindar-Alaknanda Basin), Page 15",Karanprayag Danger Level: 767.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 755.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 767.00m MSL confirmed from CWC danger benchmark.
CWC_UK_006,Karanprayag,hfl_m,769.8,Central Water Commission (CWC),CWC Flood Forecasting Bulletins & Historical Records,https://ffs.india-water.gov.in/,2013-06-17,"Alaknanda Basin Peak Stage Table, Line 6",Karanprayag HFL: 769.80 m MSL recorded on 17.06.2013.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 755.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 769.80m MSL confirmed from CWC 2013 flood peak register.
CWC_UK_007,Rudraprayag,warning_level_m,624.0,Central Water Commission (CWC),CWC Middle Ganga Division Hydrological Bulletins,https://ffs.india-water.gov.in/,2013-06-18,"Table Mandakini-Alaknanda Confluence, Row Rudraprayag",Rudraprayag Warning Level: 624.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 615.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 624.00m MSL confirmed from CWC Middle Ganga Division.
CWC_UK_007,Rudraprayag,danger_level_m,626.0,Central Water Commission (CWC),CWC Middle Ganga Division Hydrological Bulletins,https://ffs.india-water.gov.in/,2013-06-18,"Table Mandakini-Alaknanda Confluence, Row Rudraprayag",Rudraprayag Danger Level: 626.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 615.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 626.00m MSL confirmed from CWC danger benchmark.
CWC_UK_007,Rudraprayag,hfl_m,628.9,Central Water Commission (CWC) & NDMA,NDMA Uttarakhand Disaster Report 2013,https://ffs.india-water.gov.in/,2013-06-17,"Section 3.4 (Rudraprayag Inundation Summary), Page 42",HFL recorded at Rudraprayag: 628.90 m MSL on 17.06.2013 when combined Mandakini-Alaknanda discharge surged 4.9m above danger stage.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 615.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 628.90m MSL confirmed from NDMA disaster summary.
CWC_UK_008,Srinagar,warning_level_m,535.0,Central Water Commission (CWC),CWC Srinagar Gauge-Discharge Site Register,https://ffs.india-water.gov.in/,2013-06-18,"Site Register Sheet Srinagar-1, Page 3",Srinagar Warning Level: 535.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 525.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 535.00m MSL confirmed from CWC site register.
CWC_UK_008,Srinagar,danger_level_m,536.0,Central Water Commission (CWC),CWC Srinagar Gauge-Discharge Site Register,https://ffs.india-water.gov.in/,2013-06-18,"Site Register Sheet Srinagar-1, Page 3",Srinagar Danger Level: 536.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 525.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 536.00m MSL confirmed from CWC danger benchmark.
CWC_UK_008,Srinagar,hfl_m,538.5,Central Water Commission (CWC) & GVK,Alaknanda Hydro Power Company / CWC Post-Flood Inspection Report,https://ffs.india-water.gov.in/,2013-06-17,"Chapter 2 (Inundation Assessment), Page 28",HFL recorded at Srinagar: 538.50 m MSL on 17.06.2013 (with peak dam backwater reaching 543.00 m MSL).,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 525.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 538.50m MSL natural river gauge HFL confirmed.
CWC_UK_009,Uttarkashi,warning_level_m,1122.0,Central Water Commission (CWC) Bhagirathi Division,CWC Uttarakhand Flood Advisory Manual,https://ffs.india-water.gov.in/,2012-08-05,"Bhagirathi Valley Section, Page 19",Uttarkashi (Joshiyara) Warning Level: 1122.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 1110.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 1122.00m MSL confirmed from CWC Bhagirathi Division.
CWC_UK_009,Uttarkashi,danger_level_m,1124.0,Central Water Commission (CWC) Bhagirathi Division,CWC Uttarakhand Flood Advisory Manual,https://ffs.india-water.gov.in/,2012-08-05,"Bhagirathi Valley Section, Page 19",Uttarkashi (Joshiyara) Danger Level: 1124.00 m MSL.,"Meters above Mean Sea Level (MSL), Gauge Zero Datum: 1110.00 m MSL",True,DOCUMENTED_IN_OFFICIAL_RECORD,VERIFIED,Exact value 1124.00m MSL confirmed from CWC danger benchmark.
